Text,Label
Neener neener - is it time to go in from the playground yet?,0
"Just like the plastic gun fear, the armour piercing bullet fear was built upon misinformation and myth.",0
So geology is a religion because we weren't here to see rock X formed?,0
Well done Monty. Mark that up as your first ever 100% honest and accurate post here.,0
"But the whole process was done in the courts using the process set up by the constitution. Where the laws are not clear on an issue, such as in Massachusetts, it is the courts job to decide. The courts are a check on the injustice towards minorities by the majority.",0
so we would penalize financially those who want to have kids?,0
"So, IOW, you are saying that those of us who are intelligent enough to realize that your non existent imaginary god doesn't exist have a chemical imbalance? Wow, that's quite a stretch even for you Archie baby.",0
"your probably referring to the mexican basin crater. mass extinction doesn't prove evolution. the flood as described in the Bible is an example of mass extinction. besides, in order for the asteroid theory to work, the asteroid would have to create an almost global tidal wave that would effectively kill the animals by drowning. also similiar to the effects of the flood.",0
"Not in matters of atheism. Tell me, when science discovers something that seems to agree with the 150 year old writings of Darwin, are the writings of Darwin disregarded? Or is that type of history trumpeted to the masses?",0
So will they be in front of or behind a leaf?,0
Really? I don't think you know what you are talking about. Please provide evidence to back your claim. Thanks.,0
"If that is a human being, then is my kidney a human being too?",0
That would be more likely than finding evidence for abiogenesis.,0
"Wonder what ""euthanization"" is. Never heard of it before, and neither has the dictionary.",0
You were crowing a bit. What I don't understand is why. How could you possibly be pleased by some strangers religious views. Would you have been pleased if he switched to liking broccoli? (Or disliking as the case may be),0
It is clear that the profetallifers wish to make the pregnant woman a slave to her fetus.,0
"Well if your claim is that you shouldn't push a gun owner's buttons and make them mad, then why are you arguing with me when that's what you're claiming is the wrong thing to do?",0
"Ok...many many people have been killed in Africa because of the policies of the countries in the EU, South America, Asia, and so on....this hypocrisy annoys me.",0
And I see you still flip back and fourth from being an atheist to not being an atheist.,0
"What quaint illogic. Only people who marry can get divorced, so a reduction in people marrying has no effect on rising divorce rates. If anything, a rising divorce rate among fewer marriages points to an even higher divorce rate than ""normal"".",0
"I agree, for the most part. Once you get to tanks and helicopters though? Too big, too easy a target for a tyrannical regime. Do you see the Iraqis and Afghanis using tanks and helicopters? I'm sure they could get them if they really wanted, but they're useless against a government that invests in satellite technology and bombers. Better to stick with the rocket launchers and mines.",0
"Really, so you are totally knowable? Show me the site that has the Mach User-Manual where I can know everything about you.",0
Then why can't you explain an unreflective fertility and abortion rates between 1972-1979 here in America or how the Polish fertility rate never increased after the 1993 referendum that criminalized abortion?   Prove to me when criminalizing abortion has ever decreased it's demand. So far you haven'tonly provided empty rhetoric. The pro-life movement thoroughly brainwashes it's supporters to believe such jibberish.,0
Proof? All I can think to say is that a mind is a terrible thing to waste.,0
"False. This is not a valid definition of atheism. Atheism is the lack of theism (the belief in gods). Certainly, if I said ""there isn't a tiger in my bathroom"", I wouldn't need to have a camera in there to see. It's called being reasonable.",0
"Just another example of using a verse meant for personal use and applying it to wars. Sorry, just doesn't work that way.",0
"I think he doesn't really know what he means, I don't think all heathens follow a particular set of beliefs, though I don't know as many as I do pagans.",0
"By all means, burn those books . . . er, I mean, take down those nativity scenes.",0
"""Supposedly""? You ran from those threads. You are the one making assertions that you don't back up. You are the one unwilling (i.e. unable) to show that Arctic foxes can adapt to a Phoenix summer. You are the one who keeps ignoring (what I will henceforth refer to as) The Chihuahua Challenge. For somebody claiming to be so clearly right and so obviously vindicated by the evidence, you've done nothing to show it, and you've done everything to run from it.",0
"Oh? They're trained to deal with irate exhusbands who are stabbing their wives and dousing them in gasoline, in broad daylight, in the middle of a busy parking lot? They're trained to deal with that specific kind of #### every single day?",0
And a lot of blacks were killed through hangings. Are you against rope vendors?,0
And instead place my faith in the mythology of nomadic herdsmen? It is much more logical to believe in some all knowing but unknowable magic being who poofed everything into existance and then created all of the evidence to make it appear as if he didn't.,0
and gun nuts say f*** the children when we have to decide between saving guns and childrens lives,0
"well, whatever the case may be, that baby has a full function nervous system and can feel the pain whenever it is aborted. Does that not disturb you? People always tend to think ""oh the mother is going to go through pain"" BLA BLA BLA.. BUT WHAT ABOUT THE BABY THAT IS BEING TORTURED TO DEATH? cmon.",0
So what? The fact remains that Britain is still four times as dangerous as America in terms in crime rates. Or are you arguing that their crime level is acceptable and that you're alright with so many more people being a helpless victim unable to do anything?,0
"Well, I've personally measured the gravitational pull of a ball of lead about 5cm in diameter. Are you suggesting that angels push the planets around? That was the leading theory before Newton.",0
"Then 99% of creationists are not informed as far as I can tell. It seems that your position is that ""informed"" creationists are neo-Darwinists, fully accepting of the theories of evolution.",0
"Oh, so business owners don't make ""real"" contributions to society?",0
It's truly amazing that even someone like KH can disprove evolution so quickly.,0
So you still choose to believe that someone who's a victim of crime should be punished as if they committed the crime themselves?,0
And yet all you do is present your own opinions without supporting facts.,0
"I'm sure the racist white segregationists after Plessey thought exactly as you do now, ""That settles the matter.""Little Louise Brown had a big SURPRISE!!! for them.You still have not walked upon the thin ice of the ""well regulated"" wording, we note.",0
"oh don't kid yourself, you people were miserable long before I got here. Darwinists' arrogance is astounding.",0
"Exactly. Most people would incorporate it, from childhood most often. Steeeeve can't seem to wrap his mind around that.",0
